n,accuracy,f1,roc_auc,pr_auc,endpoint
2763,0.9851610568222946,0.7007299270072993,0.8873424696493005,0.6796899156142495,NR-AR-LBD
2412,0.9220563847429519,0.5078534031413613,0.8960432201264309,0.6086280082752996,SR-MMP
2921,0.9821978774392331,0.6486486486486487,0.8075628763726532,0.5755217488136818,NR-AR
2708,0.9471935007385525,0.4302788844621514,0.8792989926036476,0.4893664053031015,NR-AhR
2572,0.9129082426127527,0.3,0.7010010428220189,0.41409889994160465,NR-ER
2830,0.962190812720848,0.3184713375796178,0.8081271719038816,0.4096734056423187,NR-ER-LBD
2438,0.8638228055783429,0.2420091324200913,0.7391363197174652,0.38495368824945925,SR-ARE
2671,0.9771621115687008,0.031746031746031744,0.777865700614498,0.3281460071023197,NR-PPAR-gamma
2454,0.9755501222493888,0.23076923076923078,0.8213814654109759,0.29097160072475475,NR-Aromatase
2751,0.9541984732824428,0.07352941176470588,0.8431423444401768,0.29084824816757376,SR-p53
2869,0.969327291739282,0.0,0.7975036565110687,0.1857683199165772,SR-ATAD5
2650,0.9486792452830188,0.0684931506849315,0.7378057458878068,0.1851465999311714,SR-HSE
